label;value;information
Frankreich;1960;Gewinner: Sowjetunion
Spanien;1964;Gewinner: Spanien
Italien;1968;Gewinner: Italien
Belgien;1972;Gewinner: BR Deutschland
Jugoslawien;1976;Gewinner: Tschechoslowakei
Italien;1980;Gewinner: BR Deutschland
Frankreich;1984;Gewinner: Frankreich
BR Deutschland;1988;Gewinner: Niederlande
Schweden;1992;Gewinner: Dänemark
England;1996;Gewinner: Deutschland
Belgien & Niederlande;2000;Gewinner: Frankreich
Portugal;2004;Gewinner: Griechenland
Österreich & Schweiz;2008;Gewinner: Spanien
Polen & Ukraine;2012;Gewinner: Spanien
Frankreich;2016;Gewinner: Portugal
