label;value;information
Volkswagen AG;126.875;Wolfsburg
Daimler AG;97.761;Stuttgart
E.ON;92.863;Düsseldorf
Siemens AG;75.978;München/Berlin
Metro AG;67.258;Düsseldorf
BASF;63.873;Ludwigshafen am Rhein
Deutsche Telekom;62.421;Bonn
BMW;60.477;München
Schwarz-Gruppe;60.000;Neckarsulm
Deutsche BP AG;54.281;Hamburg
Rewe Group;53.040;Köln
Deutsche Post AG;51.481;Bonn
Aldi;50.800;Essen, Mülheim an der Ruhr
RWE;50.722;Essen
Robert Bosch GmbH;47.259;Stuttgart
Edeka;43.500;Hamburg
ThyssenKrupp;42.621;Essen, Duisburg
Bayer AG;35.088;Leverkusen
Deutsche Bahn;34.410;Berlin
Franz Haniel & Cie. GmbH;27.432;Duisburg
