label;value;information
London;;1908, 1944 ausgefallen wegen des Zweiten Weltkriegs, 1948, 2012
Athen;;1896, 2004
Tokio;;1964, 2020
Paris;;1900, 1924
Los Angeles;;1932, 1984
St. Louis;;1904
Stockholm;;1912
Antwerpen;;1920
Amsterdam;;1928
Berlin;;1916 ausgefallen wegen des Ersten Weltkriegs, 1936 Segelwettbewerbe in Kiel
Helsinki;;1940 ausgefallen wegen des Zweiten Weltkriegs, 1952
Melbourne;;1956 Reitwettbewerbe in Stockholm
Rom;;1960
Mexiko-Stadt;;1968 Segelwettbewerbe in Acapulco
München;;1972 Segelwettbewerbe in Kiel, Kanuslalom in Augsburg
Montréal;;1976 Segelwettbewerbe in Kingston
Moskau;;1980 Segelwettbewerbe in Tallinn
Seoul;;1988
Barcelona;;1992
Atlanta;;1996 Segelwettbewerbe in Savannah
Sydney;;2000
Peking;;2008 Segelwettbewerbe in Qingdao, Reitwettbewerbe in Hongkong
Rio de Janeiro;;2016
