label;value;information
Brian Jones;3. Juli 1969;Gründungsmitglied der Rolling Stones, Gitarrist und Multi-Instrumentalist
Jimi Hendrix;18. September 1970;Rockgitarrist, Sänger und Songschreiber
Janis Joplin;4. Oktober 1970;Leadsängerin und Songschreiberin mehrerer Rock- und Blues-Bands
Jim Morrison;3. Juli 1971;Sänger, Songschreiber und Videoregisseur von The Doors
Kurt Cobain;5. April 1994;Sänger, Songschreiber und Gitarrist von Nirvana
Amy Winehouse;23. Juli 2011;Soul-Sängerin und Songschreiberin
Alexandre Levy;17. Januar 1892;unbekannt
Louis Chauvin;26. März 1908;Syphilis
Robert Johnson;16. August 1938;ungeklärt
Nat Jaffe;5. August 1945;Bluthochdruck
Jesse Belvin;6. Februar 1960;Verkehrsunfall
Doug Watkins;5. Februar 1962;Verkehrsunfall
Rudy Lewis;20. Mai 1964;ungeklärt, evtl. Drogen-Überdosis
Joe Henderson;24. Oktober 1964;Herzinfarkt
Malcolm Hale;30. Oktober 1968;Kohlenstoffmonoxidintoxikation durch defekten Gasofen
Alexandra;31. Juli 1969;Verkehrsunfall
Alan Wilson;3. September 1970;Überdosis Barbiturate
Arlester „Dyke“ Christian;13. März 1971;erschossen
Linda Jones;14. März 1972;Diabetes
Leslie Harvey;3. Mai 1972;Stromschlag vom Mikrofon
Ron McKernan;8. März 1973∗;Gastrointestinale Blutung
Roger Lee Durham;27. Juli 1973;Reitunfall
Wallace Yohn;12. August 1974;Flugzeugabsturz
Dave Alexander;10. Februar 1975;Lungenödem infolge Alkoholmissbrauchs
Pete Ham;23. April 1975;Suizid
Gary Thain;8. Dezember 1975;Drogen-Überdosis
Helmut Köllen;3. Mai 1977;Kohlenstoffmonoxidvergiftung durch laufenden Automotor
Debbie Weems;22. Februar 1978;Medikamentenüberdosis, wahrscheinlich Suizid
Chris Bell;27. Dezember 1978;Verkehrsunfall
Jacob Miller;23. März 1980;Verkehrsunfall
D. Boon;22. Dezember 1985;Verkehrsunfall
Alexander Baschlatow;17. Februar 1988;Sturz aus dem Fenster, ungeklärt, möglicherweise Suizid
Pete de Freitas;14. Juni 1989;Verkehrsunfall
Mia Zapata;7. Juli 1993;erwürgt
Kristen Pfaff;16. Juni 1994;Drogen-Überdosis
Randy Walker;30. November 1995;erschossen
Patrick „Fat Pat“ Hawkins;3. Februar 1998;erschossen
Freaky Tah;28. März 1999;erschossen
Sean McCabe;28. August 2000;erstickt an Erbrochenem nach einer Überdosis Alkohol
Rodrigo Alejandro Bueno;24. Juni 2000;Verkehrsunfall
Maria Serrano Serrano;24. November 2001;Flugzeugabsturz
Jeremy Ward;25. Mai 2003;Drogen-Überdosis
Bryan Ottoson;19. April 2005;Medikamenten-Überdosis
Valentín Elizalde;25. November 2006;erschossen
Damien Morris;19. Dezember 2007;Verkehrsunfall
Orish Grinstead;20. April 2008;Krebs und andere Krankheiten
Elizabeth Amirian;12. Februar 2009;von ihrem Verlobten vergewaltigt und ermordet
Lily Tembo;14. September 2009;Gastritis
Nate Niec;6. Oktober 2009;Motorradunfall
Richard Turner;11. August 2011;Schwimmunfall
Nicole Bogner;5. Januar 2012;Krankheit
Kim Jong-hyun;18. Dezember 2017;Suizid durch Kohlenstoffmonoxidintoxikation
Fredo Santana;19. Januar 2018;Leberzirrhose durch Medikamentenmissbrauch
Samson Wieland;9. November 2018;unbekannt
